Date,City,Station_ID,Year,Month,Day,Season,Max_Temp_F,Min_Temp_F,Avg_Temp_F,Max_Temp_C,Min_Temp_C,Avg_Temp_C,Precipitation_in,Precipitation_mm,Snowfall_in,Snowfall_cm,Snow_Depth_in,Avg_Wind_Speed_mph,Avg_Wind_Speed_kmh,Max_Wind_Speed_mph,Fog_Present,Condition
2020-01-24,Los Angeles,USW00023174,2020,1,24,Winter,72,51,61.5,22.22222222222222,10.555555555555555,16.38888888888889,0.0,0.0,0.0,0.0,0.0,4.47,7.1937498,12.1,    1,Clear
2020-01-24,New York,USW00094728,2020,1,24,Winter,51,37,44.0,10.555555555555555,2.7777777777777777,6.666666666666667,0.0,0.0,0.0,0.0,0.0,,,,,Clear
2020-01-25,Chicago,USW00094846,2020,1,25,Winter,34,32,33.0,1.1111111111111112,0.0,0.5555555555555556,0.12,3.0479999999999996,0.4,1.016,1.2,8.28,13.3253352,15.0,    1,Snowy
2020-01-25,Los Angeles,USW00023174,2020,1,25,Winter,65,50,57.5,18.333333333333332,10.0,14.166666666666666,0.0,0.0,0.0,0.0,0.0,5.14,8.2720076,14.1,    1,Clear
2020-01-25,New York,USW00094728,2020,1,25,Winter,51,38,44.5,10.555555555555555,3.3333333333333335,6.944444444444445,0.85,21.59,0.0,0.0,0.0,,,,    1,Rainy
2020-01-26,Chicago,USW00094846,2020,1,26,Winter,33,27,30.0,0.5555555555555556,-2.7777777777777777,-1.1111111111111112,0.0,0.0,0.0,0.0,1.2,9.4,15.127796,15.0,    1,Freezing
2020-01-26,Los Angeles,USW00023174,2020,1,26,Winter,62,56,59.0,16.666666666666668,13.333333333333334,15.0,0.0,0.0,0.0,0.0,0.0,4.7,7.563898,16.1,    1,Clear
2020-01-26,New York,USW00094728,2020,1,26,Winter,46,38,42.0,7.777777777777778,3.3333333333333335,5.555555555555555,0.0,0.0,0.0,0.0,0.0,,,,,Clear
2020-01-27,Chicago,USW00094846,2020,1,27,Winter,35,27,31.0,1.6666666666666667,-2.7777777777777777,-0.5555555555555556,0.0,0.0,0.0,0.0,0.0,5.82,9.3663588,8.9,    1,Freezing
2020-01-27,Los Angeles,USW00023174,2020,1,27,Winter,70,50,60.0,21.11111111111111,10.0,15.555555555555555,0.0,0.0,0.0,0.0,0.0,6.93,11.1527262,16.1,    1,Clear
2020-01-27,New York,USW00094728,2020,1,27,Winter,45,37,41.0,7.222222222222222,2.7777777777777777,5.0,0.0,0.0,0.0,0.0,0.0,6.26,10.074468399999999,10.1,,Clear
2020-01-28,Chicago,USW00094846,2020,1,28,Winter,33,31,32.0,0.5555555555555556,-0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,5.82,9.3663588,12.1,    1,Freezing
2020-01-28,Los Angeles,USW00023174,2020,1,28,Winter,72,54,63.0,22.22222222222222,12.222222222222221,17.22222222222222,0.0,0.0,0.0,0.0,0.0,6.93,11.1527262,18.1,,Clear
2020-01-28,New York,USW00094728,2020,1,28,Winter,43,37,40.0,6.111111111111111,2.7777777777777777,4.444444444444445,0.0,0.0,0.0,0.0,0.0,8.5,13.67939,15.0,,Clear
2020-01-29,Chicago,USW00094846,2020,1,29,Winter,34,30,32.0,1.1111111111111112,-1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,4.7,7.563898,8.9,,Freezing
2020-01-29,Los Angeles,USW00023174,2020,1,29,Winter,78,62,70.0,25.555555555555557,16.666666666666668,21.11111111111111,0.0,0.0,0.0,0.0,0.0,11.41,18.3625694,25.9,,Clear
2020-01-29,New York,USW00094728,2020,1,29,Winter,41,31,36.0,5.0,-0.5555555555555556,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,6.71,10.7986714,14.1,,Freezing
2020-01-30,Chicago,USW00094846,2020,1,30,Winter,35,32,33.5,1.6666666666666667,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,3.58,5.7614372000000005,8.9,,Clear
2020-01-30,Los Angeles,USW00023174,2020,1,30,Winter,73,52,62.5,22.77777777777778,11.11111111111111,16.944444444444443,0.0,0.0,0.0,0.0,0.0,5.59,8.9962106,14.1,,Clear
2020-01-30,New York,USW00094728,2020,1,30,Winter,38,25,31.5,3.3333333333333335,-3.888888888888889,-0.2777777777777778,0.0,0.0,0.0,0.0,0.0,4.25,6.839695,13.0,,Freezing
2020-01-31,Chicago,USW00094846,2020,1,31,Winter,37,32,34.5,2.7777777777777777,0.0,1.3888888888888888,0.08,2.032,0.6,1.524,0.0,5.37,8.6421558,10.1,    1,Clear
2020-01-31,Los Angeles,USW00023174,2020,1,31,Winter,81,51,66.0,27.22222222222222,10.555555555555555,18.88888888888889,0.0,0.0,0.0,0.0,0.0,4.47,7.1937498,12.1,,Clear
2020-01-31,New York,USW00094728,2020,1,31,Winter,44,33,38.5,6.666666666666667,0.5555555555555556,3.611111111111111,0.02,0.508,0.0,0.0,0.0,3.8,6.115492,8.1,    1,Clear
2020-02-01,Chicago,USW00094846,2020,2,1,Winter,38,34,36.0,3.3333333333333335,1.1111111111111112,2.2222222222222223,0.01,0.254,0.0,0.0,0.0,11.41,18.3625694,19.9,    1,Clear
2020-02-01,Los Angeles,USW00023174,2020,2,1,Winter,81,57,69.0,27.22222222222222,13.88888888888889,20.555555555555557,0.0,0.0,0.0,0.0,0.0,4.7,7.563898,14.1,,Clear
2020-02-01,New York,USW00094728,2020,2,1,Winter,43,37,40.0,6.111111111111111,2.7777777777777777,4.444444444444445,0.0,0.0,0.0,0.0,0.0,2.01,3.2347733999999995,8.1,    1,Clear
2020-02-02,Chicago,USW00094846,2020,2,2,Winter,52,35,43.5,11.11111111111111,1.6666666666666667,6.388888888888889,0.0,0.0,0.0,0.0,0.0,14.32,23.045748800000002,25.9,,Clear
2020-02-02,Los Angeles,USW00023174,2020,2,2,Winter,67,53,60.0,19.444444444444443,11.666666666666666,15.555555555555555,0.0,0.0,0.0,0.0,0.0,6.71,10.7986714,23.0,    1,Clear
2020-02-02,New York,USW00094728,2020,2,2,Winter,45,35,40.0,7.222222222222222,1.6666666666666667,4.444444444444445,0.07,1.778,0.0,0.0,0.0,4.92,7.9179528,18.1,    1,Clear
2020-02-03,Chicago,USW00094846,2020,2,3,Winter,48,30,39.0,8.88888888888889,-1.1111111111111112,3.888888888888889,0.0,0.0,0.0,0.0,0.0,9.62,15.481850799999998,21.0,,Freezing
2020-02-03,Los Angeles,USW00023174,2020,2,3,Winter,63,50,56.5,17.22222222222222,10.0,13.61111111111111,0.0,0.0,0.0,0.0,0.0,15.21,24.4780614,36.0,,Clear
2020-02-03,New York,USW00094728,2020,2,3,Winter,57,37,47.0,13.88888888888889,2.7777777777777777,8.333333333333334,0.0,0.0,0.0,0.0,0.0,5.59,8.9962106,14.1,    1,Clear
2020-02-04,Chicago,USW00094846,2020,2,4,Winter,39,31,35.0,3.888888888888889,-0.5555555555555556,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,21.7,34.922678,32.0,,Freezing
2020-02-04,Los Angeles,USW00023174,2020,2,4,Winter,60,44,52.0,15.555555555555555,6.666666666666667,11.11111111111111,0.0,0.0,0.0,0.0,0.0,7.83,12.6011322,17.0,,Clear
2020-02-04,New York,USW00094728,2020,2,4,Winter,61,43,52.0,16.11111111111111,6.111111111111111,11.11111111111111,0.0,0.0,0.0,0.0,0.0,3.36,5.4073823999999995,8.9,,Clear
2020-02-05,Chicago,USW00094846,2020,2,5,Winter,33,27,30.0,0.5555555555555556,-2.7777777777777777,-1.1111111111111112,0.07,1.778,1.0,2.54,0.0,12.75,20.519085,21.0,    1,Freezing
2020-02-05,Los Angeles,USW00023174,2020,2,5,Winter,62,44,53.0,16.666666666666668,6.666666666666667,11.666666666666666,0.0,0.0,0.0,0.0,0.0,4.92,7.9179528,13.0,,Clear
2020-02-05,New York,USW00094728,2020,2,5,Winter,55,39,47.0,12.777777777777779,3.888888888888889,8.333333333333334,0.0,0.0,0.0,0.0,0.0,5.82,9.3663588,14.1,    1,Clear
2020-02-06,Chicago,USW00094846,2020,2,6,Winter,30,27,28.5,-1.1111111111111112,-2.7777777777777777,-1.9444444444444444,0.05,1.27,1.4,3.5559999999999996,1.2,12.97,20.8731398,21.9,    1,Freezing
2020-02-06,Los Angeles,USW00023174,2020,2,6,Winter,64,45,54.5,17.77777777777778,7.222222222222222,12.5,0.0,0.0,0.0,0.0,0.0,6.04,9.7204136,14.1,,Clear
2020-02-06,New York,USW00094728,2020,2,6,Winter,41,35,38.0,5.0,1.6666666666666667,3.3333333333333335,0.51,12.953999999999999,0.0,0.0,0.0,6.93,11.1527262,15.0,    1,Rainy
2020-02-07,Chicago,USW00094846,2020,2,7,Winter,38,24,31.0,3.3333333333333335,-4.444444444444445,-0.5555555555555556,0.0,0.0,0.2,0.508,2.0,7.83,12.6011322,15.0,,Freezing
2020-02-07,Los Angeles,USW00023174,2020,2,7,Winter,64,48,56.0,17.77777777777778,8.88888888888889,13.333333333333334,0.0,0.0,0.0,0.0,0.0,5.14,8.2720076,12.1,,Clear
2020-02-07,New York,USW00094728,2020,2,7,Winter,56,33,44.5,13.333333333333334,0.5555555555555556,6.944444444444445,0.25,6.35,0.0,0.0,0.0,9.62,15.481850799999998,23.9,    1,Rainy
2020-02-08,Chicago,USW00094846,2020,2,8,Winter,37,28,32.5,2.7777777777777777,-2.2222222222222223,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,6.26,10.074468399999999,14.1,,Freezing
2020-02-08,Los Angeles,USW00023174,2020,2,8,Winter,64,50,57.0,17.77777777777778,10.0,13.88888888888889,0.0,0.0,0.0,0.0,0.0,6.04,9.7204136,16.1,    1,Clear
2020-02-08,New York,USW00094728,2020,2,8,Winter,41,30,35.5,5.0,-1.1111111111111112,1.9444444444444444,0.0,0.0,0.0,0.0,0.0,7.38,11.8769292,18.1,,Freezing
